"m","k","n","use_trace","grid_size","in0_sharded","out_sharded","in0_storage_type","in1_storage_type","out_storage_type","dtype","math_fidelity","inference_time_avg (ns)","TFLOPs (avg)","Utilization (vs user grid)","Utilization (vs 8x8 full grid)"
"512","512","512","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","378654","0.71","0.54%","0.54%"
"512","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","363193","2.96","2.26%","2.26%"
"512","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","362425","5.93","4.52%","4.52%"
"1024","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","360315","5.96","4.55%","4.55%"
"1024","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","360370","11.92","9.09%","9.09%"
"1024","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","361652","23.75","18.12%","18.12%"
"2048","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","360396","47.67","36.37%","36.37%"
"2048","2048","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","357599","72.06","54.98%","54.98%"
"2048","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","509491","75.87","57.88%","57.88%"
"3072","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","790913","73.31","55.93%","55.93%"
"3072","3072","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.1777e+06","65.64","50.08%","50.08%"
"3072","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.44314e+06","71.43","54.49%","54.49%"
"4096","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","2.07709e+06","66.17","50.48%","50.48%"
"8192","8192","8192","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.44337e+07","76.18","58.12%","58.12%"
"16384","16384","16384","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.07906e+08","81.52","62.19%","62.19%"
"512","512","512","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","354750","0.76","1.15%","1.15%"
"512","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","354664","3.03","4.62%","4.62%"
"512","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","357769","6","9.16%","9.16%"
"1024","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","358937","5.98","9.13%","9.13%"
"1024","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","361688","11.87","18.12%","18.12%"
