m,k,n,use_trace,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,inference_time_avg (ns),TFLOPs (avg),Utilization (vs user grid),Utilization (vs 8x8 full grid)
512,512,512,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,207476.62,1.29,0.99%,0.72%
512,1024,1024,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,210914.61,5.09,3.88%,2.82%
512,1024,2048,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,211229.32,10.17,7.76%,5.64%
1024,1024,1024,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,222601.89,9.65,7.36%,5.35%
1024,1024,2048,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,341527.46,12.58,9.59%,6.98%
1024,2048,2048,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,534906.39,16.06,12.25%,8.91%
2048,2048,2048,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,934503.08,18.38,14.03%,10.20%
2048,2048,3072,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,1226897.24,21.00,16.02%,11.65%
2048,3072,3072,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,1608598.23,24.03,18.33%,13.33%
3072,3072,3072,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,2338409.42,24.80,18.92%,13.76%
3072,3072,4096,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,2952623.37,26.18,19.98%,14.53%
3072,4096,4096,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,3606657.98,28.58,21.81%,15.86%
4096,4096,4096,False,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,4825816.15,28.48,21.73%,15.80%
512,512,512,True,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,68583.49,3.91,2.99%,2.17%
512,1024,1024,True,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,136845.11,7.85,5.99%,4.35%
512,1024,2048,True,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,205905.44,10.43,7.96%,5.79%
1024,1024,1024,True,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,221989.15,9.67,7.38%,5.37%
1024,1024,2048,True,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,338635.44,12.68,9.68%,7.04%
1024,2048,2048,True,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,516602.99,16.63,12.69%,9.23%
2048,2048,2048,True,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,901143.55,19.06,14.55%,10.58%
