m,run,tflops,power
256,26.511351267496746,1.2656628348151442,71.641
512,21.58959706624349,12.43355562293997,71.641
1024,35.67934036254883,60.188434712602685,71.641
2048,131.56572977701825,130.58012305421013,102.3875
3072,290.7840410868327,199.39903950466677,248.554
4096,638.9188766479492,215.1117434392696,266.904
8192,4447.511037190755,247.21953887954828,260.483
256,23.57323964436849,1.4234119919964399,71.368
512,21.160443623860676,12.685719674483108,71.368
1024,35.50291061401367,60.48753780633263,71.641
2048,131.90507888793945,130.24418262616888,71.368
3072,283.8031450907389,204.303791198162,210.252
4096,648.1345494588217,212.05312012260197,263.3895
8192,4442.412853240967,247.5032519712458,262.856
256,23.592313130696613,1.4222612176311529,71.295
512,21.080970764160156,12.733543393379598,71.368
1024,35.3399912516276,60.766388783446466,71.295
2048,131.81368509928384,130.33448819111527,71.295
3072,290.19196828206384,199.80586933282038,246.1015
4096,647.8277842203776,212.1535334230835,262.8195
8192,4456.387360890706,246.72712193408577,262.122
