m,run,tflops,power,powermon
512,12.250900268554688,21.91148814499891,82.8305,87.259
1024,21.950721740722656,97.83202909524474,89.6205,100.18
2048,127.31504440307619,134.9398200703522,172.4405,145.5177666666667
4096,583.8358402252197,235.40684555950133,96.8795,339.5576086956522
8192,3898.587465286255,282.02820574535144,279.0575,471.7829364485981
512,18.576383590698242,14.450361378972264,81.219,81.219
1024,23.15545082092285,92.74203575684963,81.74,81.74
2048,129.79888916015625,132.35759793600468,173.9565,181.17085074626868
4096,567.0793056488037,242.3628443199035,269.995,404.67284347826086
8192,3883.239507675171,283.14288253475735,279.7985,470.46854156378595
512,9.659528732299805,27.789705216404396,82.435,82.435
1024,30.371665954589844,70.70681111832349,126.3245,152.86039999999997
2048,151.44038200378418,113.44311838549582,130.525,205.43947297297296
4096,566.0567283630371,242.80067100245535,90.719,344.65790625000005
8192,3853.1761169433594,285.3520302228538,99.1435,467.30278075313817
512,12.079477310180664,22.222439688988924,74.271,81.219
1024,21.502017974853516,99.87358630764189,93.0585,113.135
2048,150.3901481628418,114.23533651551237,89.671,196.205
4096,575.2789974212646,238.90834549511004,87.894,253.05388679245283
8192,3943.2916641235356,278.8309162569605,268.527,454.752910880829
512,36.545753479003906,7.3451887140381515,75.485,75.485
1024,24.095773696899414,89.12283436146038,75.814,75.814
2048,134.61637496948242,127.62094647025432,174.987,159.47595918367344
4096,550.3087043762207,249.74882712020366,235.3625,399.1382954545454
8192,3938.786029815674,279.14987497491825,225.073,454.7433234375
512,9.632349014282227,27.86811977036766,76.088,76.088
1024,26.7336368560791,80.32890023759235,78.819,78.81899999999999
2048,189.37420845031738,90.71916035761103,159.625,222.41861728395065
4096,559.758186340332,245.53272614120797,130.16,364.1360994152047
8192,3889.3826007843018,282.69567194399474,268.9265,458.6893379737046
