m,run,tflops,power,powermon
512,20.098161697387695,13.356219341935661,91.68,89.84700000000001
1024,33.51771831512451,64.07010249951803,118.549,136.9855
2048,130.46231269836426,131.6845365429077,189.588,280.61691666666667
4096,564.4171237945557,243.50599526109866,267.2115,444.5504181818182
8192,3805.591583251953,288.9200282591664,279.995,474.0790362116992
512,20.116901397705078,13.343777488049074,94.2565,94.2565
1024,32.03413486480713,67.03735428045654,139.466,143.991
2048,128.41670513153076,133.7821988689363,188.5045,282.22791666666666
4096,570.0878858566284,241.08379932592456,268.211,438.93092727272733
8192,3811.3455295562744,288.48384887948157,274.9175,473.9150718232044
512,20.329689979553223,13.204109667682168,94.622,94.459
1024,31.78791999816895,67.55659533947801,140.137,145.434
2048,126.71291828155516,135.58103954189153,203.717,293.6933076923077
4096,576.6188144683838,238.35322404232065,254.4425,442.4812037037037
8192,3813.1340742111206,288.34853597521936,282.52,471.8857796143251
