m,run,tflops,power,powermon
256,22.394704818725586,1.4983199051564673,81.56,82.82066666666667
512,20.820069313049316,12.893110583054291,90.779,90.69649999999999
1024,36.31117343902588,59.14112502054163,117.2765,134.43272727272728
2048,136.6443634033203,125.7268778317024,238.3785,290.1176326530612
3072,299.20527935028076,193.7868831121799,237.612,408.2034184397163
4096,683.4365844726562,201.09978978963895,239.7715,408.2172285714285
8192,4796.365237236023,229.23851153787652,245.665,395.5723505383154
256,21.364545822143555,1.570566127608577,81.635,81.7235
512,20.37496566772461,13.174768506492299,91.5585,91.61250000000001
1024,35.28447151184082,60.86200404841955,122.6325,141.38636363636363
2048,136.83710098266602,125.5497892064834,97.7025,319.20866
3072,308.54320526123047,187.92200737951447,267.175,392.57867857142855
4096,697.7964878082275,196.96137179436732,244.299,372.27697142857147
8192,4781.396150588989,229.95618709413114,261.328,397.6581808375634
