m,run,tflops,power,powermon
256,22.394704818725586,1.4983199051564673,81.56,82.82066666666667
512,20.820069313049316,12.893110583054291,90.779,90.69649999999999
1024,36.31117343902588,59.14112502054163,117.2765,134.43272727272728
2048,136.6443634033203,125.7268778317024,238.3785,290.1176326530612
3072,299.20527935028076,193.7868831121799,237.612,408.2034184397163
4096,683.4365844726562,201.09978978963895,239.7715,408.2172285714285
8192,4796.365237236023,229.23851153787652,245.665,395.5723505383154
256,26.37488842010498,1.2722113347187551,82.063,85.1945
512,26.369476318359375,10.17977955872812,92.1335,94.35813636363636
1024,41.887688636779785,51.267656867425885,128.699,157.13025000000002
2048,168.94705295562744,101.68788909571659,230.6275,257.2629119496855
3072,392.45002269744873,147.74380212152536,214.1895,304.0799191176471
4096,844.8316097259521,162.68206810654573,231.9975,356.0593540621865
8192,6064.0629529953,181.3159982504641,140.4325,338.0109151037759
256,31.48548603057861,1.065711101534594,82.418,84.23151063829785
512,30.09364604949951,8.920004427461668,86.5025,90.6945625
1024,51.8540620803833,41.41399076259458,101.0295,124.92509411764703
2048,199.95763301849365,85.91754625546639,171.6625,205.96018092105265
3072,479.2488098144531,120.98529471246563,170.39,313.5966583769634
4096,1037.5250577926636,132.46808107401438,238.04,311.61126223596085
8192,7719.285082817078,142.43697647901143,246.0395,282.471891150618
