m,run,tflops,power,powermon
512,37.64655590057373,7.1304120543974925,57.9035,63.230999999999995
1024,57.74376392364502,37.18987994685682,118.3685,158.01149999999998
2048,244.79198455810547,70.18150212317133,178.9885,240.8680416666667
4096,1679.2659282684326,81.84466269360895,172.6555,243.92310967741932
8192,12797.80080318451,85.91410701613715,191.779,245.9846555246054
512,34.7714900970459,7.719987128846275,67.6075,73.35525
1024,52.72555351257324,40.72946616839022,123.319,203.34233333333336
2048,249.9542236328125,68.73206195242196,187.4425,238.07072
4096,1698.319911956787,80.92642175621918,129.363,245.34721935483873
8192,12823.070049285889,85.7448039782978,183.3745,244.88200276243097
512,35.387635231018066,7.585572029540708,64.8565,69.8095
1024,52.9857873916626,40.529427865743294,147.261,199.9908333333333
2048,248.24581146240234,69.20507171015028,107.642,242.00008333333335
4096,1695.8061218261719,81.04638360663269,185.488,244.4218653846154
8192,12790.53246974945,85.96292846888319,130.838,245.68954243542433
