m,run,tflops,power,powermon
512,35.50820350646973,7.559815183302362,60.2755,66.1225
1024,55.11786937713623,38.961659299748085,132.2395,197.70299999999997
2048,247.09134101867673,69.52841452546666,169.524,241.2426571428572
4096,1685.7681035995483,81.5289796850068,144.3765,245.4113824959481
8192,12943.643999099731,84.94606525430353,185.3605,245.39809663087743
512,35.98198890686035,7.460272879713436,63.1975,73.15152380952381
1024,57.55155086517334,37.31408825160827,97.0855,174.68680487804878
2048,250.87637901306152,68.47942102634363,146.1585,243.43972538860103
4096,1705.184817314148,80.60061998938117,130.571,244.44164544138928
8192,12839.668774604797,85.63395575676311,198.392,247.29422586077843
512,36.232590675354004,7.408674096897912,62.8545,70.54405263157896
1024,54.57491874694824,39.34927797066275,141.931,203.83434426229508
2048,255.0889253616333,67.3485497641441,143.437,243.02547923322686
4096,1697.9692697525024,80.94313361279691,152.3515,244.94308048666355
8192,12834.72249507904,85.66695759862075,165.2055,246.89137525100404
512,37.85278797149658,7.091563670346655,62.3435,61.649249999999995
1024,57.317328453063965,37.466569115455755,137.2945,174.27049999999997
2048,247.23899364471436,69.4868917347548,106.5865,241.10651428571427
4096,1687.4218940734863,81.4490756311205,151.7275,244.97080813008128
8192,12947.642064094543,84.91983500417311,178.363,245.10356380811257
512,38.854384422302246,6.908755858345789,60.849,68.72429166666667
1024,55.23226261138916,38.880964611382375,152.136,201.51046153846158
2048,252.63361930847168,68.00309963110242,207.4795,241.5258238341969
4096,1705.670690536499,80.57766029195832,148.3675,244.51664511494255
8192,12875.260782241821,85.39723166559075,128.993,246.93092195990255
512,36.3131046295166,7.392247474808474,61.7885,67.91511764705884
1024,58.64400863647461,36.61897775972185,53.2115,153.50077464788725
2048,255.663800239563,67.1971126452085,178.551,241.708084375
4096,1699.0599870681763,80.89117189391216,145.212,244.95843138173302
8192,12858.642148971558,85.50759987235043,128.605,246.44923605446442
