m,run,tflops,power,powermon
512,35.50820350646973,7.559815183302362,60.2755,66.1225
1024,55.11786937713623,38.961659299748085,132.2395,197.70299999999997
2048,247.09134101867673,69.52841452546666,169.524,241.2426571428572
4096,1685.7681035995483,81.5289796850068,144.3765,245.4113824959481
8192,12943.643999099731,84.94606525430353,185.3605,245.39809663087743
512,35.98198890686035,7.460272879713436,63.1975,73.15152380952381
1024,57.55155086517334,37.31408825160827,97.0855,174.68680487804878
2048,250.87637901306152,68.47942102634363,146.1585,243.43972538860103
4096,1705.184817314148,80.60061998938117,130.571,244.44164544138928
8192,12839.668774604797,85.63395575676311,198.392,247.29422586077843
512,36.232590675354004,7.408674096897912,62.8545,70.54405263157896
1024,54.57491874694824,39.34927797066275,141.931,203.83434426229508
2048,255.0889253616333,67.3485497641441,143.437,243.02547923322686
4096,1697.9692697525024,80.94313361279691,152.3515,244.94308048666355
8192,12834.72249507904,85.66695759862075,165.2055,246.89137525100404
