m,run,tflops,power
256,21.100838979085285,1.5901942113893413,71.295
512,21.515687306722008,12.476266836064978,71.295
1024,34.42525863647461,62.38104615791255,77.729
2048,147.55884806315103,116.42723841709241,114.9695
3072,313.8502438863119,184.74434742514725,204.4565
4096,679.9077987670898,202.14351669627086,211.7715
8192,4346.282482147217,252.9774887601881,256.106
256,20.28862635294596,1.6538543032080537,71.368
512,21.398067474365234,12.544845758692189,71.295
1024,34.26949183146159,62.664589792033986,71.295
2048,146.69259389241535,117.1147685656152,71.295
3072,315.46831130981445,183.7967758322867,184.693
4096,679.1607538859049,202.36586505569628,220.431
8192,4336.952368418375,253.52172087077273,256.1785
256,20.436445871988933,1.641891756041159,71.568
512,21.36389414469401,12.564912285275916,71.295
1024,34.17253494262695,62.84238648392515,71.568
2048,136.12747192382812,126.2042770735742,100.645
3072,315.48182169596356,183.78890480694173,204.0835
4096,668.4605280558268,205.6051893920081,258.812
8192,4330.595334370931,253.8938743709049,258.948
