m,run,tflops,power
256,20.630359649658203,1.626458896975939,37.137
512,58.76938501993815,4.567607027178018,79.626
1024,439.6661122639974,4.884351074823215,106.285
2048,3004.619280497233,5.717818991415415,139.72
3072,9577.205975850424,6.054172651418974,161.6155
4096,21843.086878458656,6.292103045542539,149.6475
8192,190321.23406728107,5.777135868020423,189.9975
256,18.651485443115234,1.7990219654266648,223.45
512,48.21936289469401,5.566963972258087,140.6195
1024,397.54072825113934,5.40192109987625,151.277
2048,2977.410157521566,5.770071395974796,179.4195
3072,9576.141039530436,6.054845919316486,178.6885
4096,21854.365666707356,6.288855763101495,169.248
8192,192618.0068651835,5.708249429377421,193.712
256,19.51456069946289,1.7194561802727917,173.1615
512,59.37894185384115,4.520718079832796,135.9525
1024,404.28320566813153,5.311829969417104,157.979
2048,2983.6535453796387,5.75799734208552,183.277
3072,9568.494955698648,6.059684283103268,182.669
4096,21843.717098236084,6.291921510148949,172.822
8192,193546.60590489706,5.680862356823074,197.9645
256,20.691553751627602,1.6216487366184669,41.8265
512,58.858394622802734,4.56069958618959,72.3815
1024,421.2069511413574,5.098405052862725,92.958
2048,3006.138801574707,5.714928790048105,111.6405
3072,9562.13076909383,6.063717375985515,106.327
4096,21854.07002766927,6.288940837930399,104.822
8192,190396.8358039856,5.774841914431563,142.897
256,20.66214879353841,1.6239565562751799,42.391
512,58.743953704833984,4.569584426488997,77.626
1024,431.3182830810547,4.9788838828249675,90.435
2048,2974.1255442301435,5.776443841561851,125.7365
3072,9565.009276072184,6.061892552582029,112.4595
4096,21846.85707092285,6.291017194181438,114.751
8192,191584.06098683676,5.7390558594096435,142.8635
256,20.647048950195312,1.6251442073363511,43.313
512,58.825810750325516,4.563225777530224,77.157
1024,420.77143987019855,5.103682057561857,106.95
2048,2969.644864400228,5.785159494978797,129.6025
3072,9561.889171600342,6.063870586182054,115.8565
4096,21851.582527160645,6.289656746881782,114.781
8192,191949.99138514203,5.728115014966904,144.672
