m,run,tflops,power,powermon
256,36.19742393493652,0.926983977100492,45.272,45.005
512,36.44156455993652,7.366189109649675,55.2155,56.44842857142858
1024,62.552690505981445,34.330795855929686,94.754,116.99833333333332
2048,266.82043075561523,64.38738268785457,158.6125,204.86155932203394
3072,808.3901405334473,71.72534100643325,125.0165,244.87984117647062
4096,1750.2291202545166,78.52626372255408,146.0055,245.70206741573034
8192,13320.842742919922,82.54069573491472,113.98,246.49356584603362
256,31.679630279541016,1.05918003789551,44.0135,44.48957692307692
512,36.90934181213379,7.272832373070196,52.3535,53.82071428571428
1024,61.42401695251464,34.961628277423884,99.8905,106.78381818181812
2048,279.0408134460449,61.567585658296125,135.5045,199.31332051282055
3072,816.5018558502197,71.01277000237009,142.7485,242.57101081081083
4096,1761.3072395324707,78.03235596106585,102.815,245.55222716627634
8192,13353.71470451355,82.33751073058087,74.108,246.7208703367614
256,31.672954559326172,1.0594032816594252,45.034,44.889697674418606
512,36.876678466796875,7.279274250301438,53.4415,56.68934615384616
1024,61.72490119934081,34.79120429961796,91.9,112.81007446808512
2048,278.4717082977295,61.693409678918094,46.678,183.7699414225941
3072,816.7214393615723,70.9936775277068,108.6305,243.09742828282825
4096,1763.411521911621,77.93923979979994,67.6065,243.92875088131606
8192,13400.802612304688,82.048192155776,145.7495,247.0763323761665
