conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,iters
f16_m4,256,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,195.01753807317044,191.55639378992552,166.21705222487802,165.84197592138847,211.3324182755639,206.88195849112623,274.56351702220877,300
f16_m4,512,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,214.10003278022222,192.88878171029492,321.4123088291781,326.74206541725704,243.01906872126642,222.29754687043243,284.39643977084916,300
f16_m4,1024,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,718.5357119865745,365.923291042068,1332.256102915058,1132.967623287937,727.0267557192801,476.46113262221104,534.0329388028886,300
f16_m4,2048,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,597.2446635342285,243.64563188242585,3561.0275463139865,3447.2676602219467,791.9935248973559,713.5677546071563,950.9738996988455,300
f16_m4,3072,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1381.592380646507,290.75562909054105,7716.454946439135,7652.322801003092,1451.8758941830301,1407.5056851397112,1904.754720976104,300
f16_m4,4096,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1203.0597636964474,411.51620207422667,13621.445585466965,13562.702203621611,2165.8909867942543,2136.017542239969,3754.7601987035823,300
f16_m4,5120,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1413.855990586499,353.7905578012766,21403.5909648819,21378.518880130392,3087.4522488219854,3081.8879346162626,7269.30519774158,300
f16_m4,6144,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,555.7200131626614,288.2406857074017,29458.457185196166,29488.66299122831,4501.622854612728,4474.051909465471,10363.450208337134,300
f16_m4,7168,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,518.4172367230225,346.9509105135561,41381.58588187191,41457.26308056836,5849.430823701855,5843.728830239688,15758.578743337634,300
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,229.1618547044526,201.64539642574778,174.49932888601214,274.2211094101943,224.7115238200134,256.81548089427656,302.04935900647473,300
