conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,iters
f16_m4,256,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,202.00435780359393,240.74530105598612,170.58843537326857,169.24059945826704,222.086892787709,217.4817924163502,285.69969749819984,100
f16_m4,512,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,261.030662745832,222.1368094166488,351.0165810329485,353.82474016874903,273.98942598078537,245.1545183548672,718.8895338437275,100
f16_m4,1024,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,256.95084090789896,193.05195149272308,951.8654309474073,921.1072045019802,339.3233428320017,319.3172193332358,3084.5041295768724,100
f16_m4,2048,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1578.7004027150683,212.35925529678298,3452.7373885208362,3382.4814972748622,700.832807641865,649.0428497046681,22076.404957922878,100
f16_m4,3072,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,7780.615546166953,325.66568078729614,7714.975411520803,7797.02200318421,1501.8066446600994,1433.7962033662852,73005.69695840745,100
f16_m4,4096,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,25657.81690269063,311.64546724495625,13494.860084539041,13437.534767479805,2154.9431902859055,2121.163414390667,171519.5763266062,100
f16_m4,256,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,213.76006365177432,196.51116601198456,173.08961668278818,169.30577846368087,215.08736361362804,212.25878512110856,280.1355309139293,100
f16_m4,512,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,577.092602178515,341.10337833460903,442.33296745371774,453.41242276260215,662.4016831438862,291.331590240009,522.1725436579553,100
f16_m4,1024,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,284.94858030470874,222.2849619564167,969.3017147410517,936.9390369339897,353.35641827945307,333.92126128961763,1045.1841561633103,100
f16_m4,2048,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,407.3048458097747,234.1498692944398,3442.3529877763353,3397.0474024224964,814.627622606888,673.1459430955139,6005.742266942242,100
f16_m4,3072,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2105.9625615875775,345.8727667581778,7707.65911742753,7624.064077125377,1511.3105433174107,1402.059375720657,19109.327503482975,100
f16_m4,4096,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1120.334978202232,308.03580061058136,13800.243753441178,13545.981926569693,2149.351984678336,2143.4051376193224,44367.84806857693,100
f16_m4,256,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,192.59082308968536,185.28117239485897,167.17920138962216,165.28250978052927,207.9068706108182,206.0438790476334,271.4909841338336,100
f16_m4,512,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,212.41364608635513,188.52867345036424,319.0298861272881,326.5223551355254,248.54586200217204,217.29748476413025,311.0502451859665,100
f16_m4,1024,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,261.73042743612257,209.2989130779975,960.5441852636994,926.947925342174,345.5510725880171,328.500571285379,772.7718372972886,100
f16_m4,2048,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,400.92479026643366,222.5497786954767,3422.521537166387,3375.481048341958,706.907962784411,659.8079627729644,3747.4745523614233,100
f16_m4,3072,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1999.0854876460437,639.0033908432755,8380.651202400077,7826.174408620202,1693.9779868516641,1473.9039393940925,9095.900748586664,100
f16_m4,4096,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2973.1642112984314,406.5820763932988,13995.338610556195,13947.102096952513,2315.073904974829,2222.8303941479717,54023.394964945146,100
f16_m4,256,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,194.8650686078218,188.37833024455833,166.79930013816048,252.20725595937523,207.95974699344313,209.36581922362907,272.5115626193437,100
f16_m4,512,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,208.0239238500458,191.25380273268144,319.092174649425,320.8834328312633,244.0299829990447,221.11384098728135,289.5792506014671,100
f16_m4,1024,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,429.79785238583213,242.48691199640655,1051.8160312311736,941.1483454240166,378.94166417938976,334.1686629492998,541.1212353714702,100
f16_m4,2048,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,346.4182796326981,197.8762411187374,3420.176861568588,3388.418122011598,686.3651509042512,647.0456346671605,2034.5702989079812,100
f16_m4,3072,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2151.0769221037576,356.1845216584924,7584.842609818367,7569.198593759374,1478.4780052404174,1461.0455679502622,5895.884032733949,100
f16_m4,4096,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2658.665828612628,292.45979290903745,13336.190426472293,13267.537340056111,2186.777286325682,2235.5433373710675,12655.278936939749,100
f16_m4,256,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,197.25096057769824,189.1726794639029,168.39468402332253,165.28593254826978,213.43236995145648,208.17144377739558,282.3736884961664,100
f16_m4,512,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,226.35649993639524,193.4330703865926,322.72155991364787,324.27051592865377,250.45088937634952,234.14976057804165,301.8731040655139,100
f16_m4,1024,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,261.2467053104417,205.06073597690335,965.5118328860042,932.5848995973046,339.8645896775105,333.2054432515628,508.11315177163925,100
f16_m4,2048,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,381.8401383919448,226.6985209993791,3401.4307406430753,3386.7476466531266,716.3742905044844,663.7927265614801,3840.4895602179795,100
f16_m4,3072,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1846.4869784326784,250.90271772894067,7639.971963907668,7559.302451070886,1406.6334539702525,1395.2555020170748,4393.789231105074,100
f16_m4,4096,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1559.6810062772715,290.59888918872167,13316.323050054163,13306.513897467423,2146.7804035697036,2104.06452241419,14452.32028228972,100
f16_m4,256,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,192.9058187402683,185.67358617477564,171.1638425210038,170.37726340631664,210.69632766443658,208.0740881552612,271.98279260849574,100
f16_m4,512,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,208.17606685350168,190.93575086496097,322.81757665700974,323.0021543677438,243.11528725671093,230.55926301626644,285.6069036159441,100
f16_m4,1024,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,264.91050878826707,205.3747573198184,954.734108963872,924.453255144707,344.17856882182116,326.35018630000627,468.2437134781007,100
f16_m4,2048,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,327.81643363594264,196.47789908103672,3418.5886871392054,3384.225777229832,681.2008041618554,644.0340266794668,1373.0591368544838,100
f16_m4,3072,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2849.3605020476866,579.1784266230859,7780.809491655433,7613.703494421163,1467.0427412519675,1615.9416529309929,3292.9092593402906,100
f16_m4,4096,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,859.6093967734333,358.0905984419036,13487.695294835812,13407.629185483544,2189.5487617316585,2108.7007457075747,7542.448518910835,100
f16_m4,256,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,197.84649258040793,189.99480471009778,167.21240208168493,165.97847941811747,213.33540299681653,212.53476075685552,277.13884753828347,100
f16_m4,512,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,217.79899907909262,198.18996902417604,320.53339496461734,330.81138248204917,258.8871449669152,231.96839580667722,293.17779212757586,100
f16_m4,1024,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,249.6371454243918,192.97302084393968,945.9147940073952,910.0081225972932,333.9874578796961,315.15136864779885,422.2525090077777,100
f16_m4,2048,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3268.3980410676327,816.9869085187611,4458.7567438850365,3522.4190535266675,1082.883545818938,820.0842806980706,1483.8268549642823,100
f16_m4,3072,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,5615.06012955882,254.45536226232105,7639.175532410173,7534.90441908871,1544.986091163646,1607.2448790168191,2731.0705708866167,100
f16_m4,4096,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1150.3651335654768,355.13047647058437,13475.974962132013,13415.764627110873,2130.4661195241197,2106.004990898054,19062.738887048818,100
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,322.7518177323296,199.4831919521456,196.82632395072685,171.94609117454874,286.35991685841856,256.0081699066802,304.81745221634196,100
f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,820.069011467535,207.1629775813214,504.80352254374947,477.2185483564429,271.8551248752413,257.855170827027,310.4228715954505,100
f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,244.80477843502894,190.98692940780458,947.4150141819383,911.4756828517486,335.04334158441566,315.54331312287474,418.04195406643913,100
f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,333.342083089606,199.53446076910822,3457.8918144495365,3388.1957343561276,682.8034471516829,648.3225468591845,979.1595979381082,100
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3740.85387283671,373.14697406031564,7854.146399900895,7610.403228196463,1596.2851359620113,1517.5214519915114,2343.984314492613,100
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,687.9315311432059,276.12409403153924,13256.284134722733,13181.352954724764,2131.3926471718733,2076.607615271121,4405.631585044669,100
f16_m4,5120,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,31399.873272429344,673.3186899379708,21464.210728439404,21530.01678568577,3164.9324716823485,3135.060938156532,333846.48990032246,100
f16_m4,6144,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,45094.743443667394,387.65424196968223,31104.778934841965,30934.985359095048,4607.46821945771,4616.1303607022255,574985.4945848166,100
f16_m4,7168,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,36139.85786881105,345.3890643976046,40984.503590198816,41177.41657849112,5822.761851087813,5825.936178060886,910564.0920832775,100
f16_m4,5120,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,695.1800941293351,353.6933903923914,21215.288669215395,21171.958141081486,3092.5953375569784,3135.007901317827,85827.21314748058,100
f16_m4,6144,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,596.5320797291329,365.15323991769446,29913.62732853821,29882.64429436596,4560.335130386364,4563.647658622377,147317.66445108983,100
f16_m4,7168,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,472.9431872977465,353.02746843550716,40985.87221970527,41016.62336043283,5828.171161525119,5842.537638812628,232972.55288743443,100
f16_m4,5120,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,519.1508815361356,321.94249606935614,20818.395042993547,20729.450583364604,3081.7707187013666,3067.3600094000058,40991.58109066706,100
f16_m4,6144,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,665.885624384156,328.1278810391655,30013.49129933155,30000.8829247445,4557.179933551786,4571.3797887066885,67186.25809396095,100
f16_m4,7168,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,694.9986973647206,319.94990635599083,40882.878932905725,40947.319720158375,5835.003905047479,5822.563813676919,107823.98749270444,100
f16_m4,5120,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,754.2232546600893,352.4047932469363,20962.37874261927,20777.91713709003,3096.26511734891,3084.673025022068,23712.344428390956,100
f16_m4,6144,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1231.4293549442164,448.9805936107643,31882.04924566984,31677.41083623374,4774.269575327652,4652.18026839174,40101.64488418317,100
f16_m4,7168,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,603.5821782648402,359.76838740061214,41602.487224699194,41269.19024378485,5846.395025555274,5846.97607378466,64447.72979723384,100
f16_m4,5120,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,732.3301428420104,392.69393169149356,21866.319834172602,21772.339767504585,3124.420738164999,3118.914899035918,16037.458288043326,100
f16_m4,6144,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,909.438458677194,434.88577431516353,31896.549106765655,31635.31799037761,4605.541526284599,4586.918902073837,34691.582064970855,100
f16_m4,7168,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1023.0762847826752,358.07590800419496,42570.501947264696,42137.05739998859,5855.982918990293,5873.48308151875,41376.60126339703,100
f16_m4,5120,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,696.9389250481488,427.5092784356573,21494.9916968855,21330.530077344316,3147.3055310270247,3178.283275081361,12532.950175632686,100
f16_m4,6144,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1237.1013526770787,438.7017103334476,31173.05735381659,30749.83535397028,4636.295575786395,4601.283900176455,19918.345037467025,100
f16_m4,7168,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,672.4786809579621,412.4936891539663,42361.99882030528,42193.30536226411,5867.692729818557,5839.596365971215,62334.93992653268,100
f16_m4,5120,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,816.4590074047602,391.8479958715363,22323.326363303324,22091.856858087172,3147.0846542036975,3137.3764609912614,34721.4636519483,100
