conf,m,cores,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,voltage,current,power,aiclk,temp,iters
f16_m4,256,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,204.873281051758,202.80591185972142,169.83969126724102,166.92383363256891,219.0980691932272,210.41524015326416,286.07480752284295,0.7599999999999972,33.0,24.0,1000.0,39.924375,300
f16_m4,512,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,229.6475113796503,209.56540789617853,331.9336681193124,336.2953922736485,259.77943130921705,231.36883845180677,629.9894494531497,0.7599999999999972,33.0,24.0,1000.0,40.75833333333333,300
f16_m4,1024,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,263.12789956249804,196.265623994323,947.1913221851138,917.2905656135496,340.88178415808784,318.76705639730693,3098.92660589168,0.7599899999999972,33.22,24.0,1000.0,41.73243055555556,300
f16_m4,2048,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1065.7864886653044,231.91198966311785,3449.5037291604435,3394.430705458843,712.3224823513115,666.0342678553416,22384.527447991113,0.7599877777777752,36.29666666666667,26.873333333333335,1000.0,43.87623263888888,300
f16_m4,3072,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3598.9090481595554,243.87952681237414,7536.465460714646,7585.14470328931,1402.9053785149704,1362.8849873749957,73378.90816239094,0.7599983333333306,37.99,27.99,1000.0,47.23026736111111,300
f16_m4,4096,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,9503.966293167405,267.6731542463461,13244.62951317338,13142.69043074146,2112.3278303380703,2067.1769236396144,171895.3237842296,0.7599883333333307,39.0,28.616666666666667,1000.0,49.848125,300
f16_m4,5120,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,13137.243748206942,273.6364128948385,20497.61070202468,20427.31840279678,3010.575121038843,2963.3705185857007,333727.14244071295,0.7599733333333304,40.0,29.0,1000.0,51.392916666666665,300
f16_m4,6144,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,21959.267538272397,274.2952602176719,29355.498301204643,29265.860993467504,4479.645591707166,4441.12851114355,575276.8048529516,0.7599749999999976,40.0,29.0,1000.0,51.60822916666667,300
f16_m4,7168,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,15503.090171317237,273.6871461396302,40135.86014965706,40025.75844099438,5743.366616521036,5700.986425725915,910474.0261219615,0.7599466666666639,40.0,29.66,1000.0,51.42270833333333,300
f16_m4,256,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,220.47156763269257,205.8342818370083,182.05276952878248,166.25260493903443,234.16386376811658,209.08437137616855,301.4687712879547,0.7599999999999972,35.0,26.0,1000.0,50.35395833333333,300
f16_m4,512,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,242.96008193365498,214.07299932284036,342.9128993646629,341.00632857065193,273.0649467003497,240.3199069271446,446.30517386258424,0.7599933333333305,35.0,26.0,1000.0,50.35847222222222,300
f16_m4,1024,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,262.9443423870511,201.94677451587506,954.520825077651,919.7677455046958,344.914074644558,316.86080000086423,1717.028922970435,0.7599799999999972,35.0,26.0,1000.0,50.60723958333333,300
f16_m4,2048,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,386.0430083364968,230.54762102405624,3392.657807089115,3368.3679511726027,709.1730851835528,664.1079308836534,11351.108667956774,0.7599733333333305,36.78666666666667,27.07,1000.0,50.83326388888889,300
f16_m4,3072,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,410.75246528721385,244.35300253687222,7519.469254087284,7592.075289035175,1399.950883427812,1366.6893578585973,37043.45512666426,0.7599966666666639,38.403333333333336,28.403333333333332,1000.0,51.348125,300
f16_m4,4096,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1519.8061252514499,263.81964215480974,13214.697174174495,13096.118672967525,2109.1365492892064,2066.2029963164778,86688.96049536251,0.7599866666666638,39.843333333333334,29.0,1000.0,51.567708333333336,300
f16_m4,5120,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,5555.190239303223,269.5973456219196,20441.3329753972,20368.939778260516,3003.2371966302785,2966.938139542592,168378.02511015744,0.7599666666666639,40.0,29.0,1000.0,51.60916666666667,300
f16_m4,6144,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,10063.22215550734,271.5620713760275,29372.27349799843,29284.19295177011,4479.823040234948,4440.47179554481,290184.50350806274,0.7599633333333305,40.0,29.0,1000.0,51.70041666666667,300
f16_m4,7168,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,6054.611562400275,269.7490091072262,40072.595107466295,39978.153924741586,5739.3236356027355,5698.414898563193,459651.47725112695,0.7599816666666642,40.89333333333333,29.946666666666665,1000.0,51.564166666666665,300
f16_m4,256,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,203.21914761848285,200.41574186130515,170.51345199642222,166.51255703843006,219.21640582794933,210.31496487195142,283.93259870847294,0.7599999999999972,35.0,26.0,1000.0,50.30479166666667,300
f16_m4,512,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,345.26036898893307,298.10039585902206,495.9032150352562,374.514354752201,357.15157117319416,337.4534631778815,511.8470007434639,0.7599699999999973,35.03666666666667,26.0,1000.0,50.34128472222222,300
f16_m4,1024,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,272.4681982358298,211.0208545078229,969.1688545520973,942.510238722804,354.8963795040892,325.0379485512443,1048.8967499790806,0.7599455555555527,36.37,26.846666666666668,1000.0,50.47190972222222,300
f16_m4,2048,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,541.0860766936057,339.1535228481062,3530.3396334855424,3438.8494518387984,789.9460672260341,673.1464467160835,6010.294450413835,0.7599666666666639,37.266666666666666,27.0,1000.0,50.83,300
f16_m4,3072,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,414.8522698985009,264.5307208970294,7507.409463278701,7602.362241308465,1415.1664344617293,1377.2015507136468,19191.36157158715,0.7599866666666639,38.983333333333334,28.96,1000.0,51.35350694444444,300
f16_m4,4096,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,438.4091053126732,270.3364653335688,13254.352286292979,13156.108059821545,2135.0010601974413,2065.232461085948,44331.67866480857,0.7599533333333306,39.943333333333335,29.0,1000.0,51.598125,300
f16_m4,5120,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,420.29471117483655,268.76567466235707,20449.43157724731,20372.21416450479,3006.9125863269383,2965.082028033786,85699.84804067755,0.7599433333333304,40.0,29.0,1000.0,51.75729166666667,300
f16_m4,6144,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,498.9310249650048,272.854952829315,29402.547463378614,29298.35985832838,4478.346504598829,4443.007357133042,147305.3790104056,0.7599599999999972,40.0,29.0,1000.0,51.67729166666667,300
f16_m4,7168,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1033.1994661738274,262.80571985419436,40041.69685142046,40014.93368525017,5733.425507431736,5688.199145737995,232862.5823348938,0.759949999999997,39.57333333333333,28.833333333333332,1000.0,50.015208333333334,300
f16_m4,256,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,204.62148594631947,201.20603088012322,172.11913007016716,167.23982263670374,221.00608584754286,206.29074832365635,281.952670324062,0.7599999999999972,33.0,24.0,1000.0,40.78458333333333,300
f16_m4,512,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,237.66686070856812,192.5416873433274,338.9727053819261,333.125267771629,264.1393158542932,224.70726797205253,326.60547996073734,0.7599866666666638,33.54666666666667,24.083333333333332,1000.0,41.65895833333333,300
f16_m4,1024,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,274.7381397976725,204.17072082199815,964.4529647805628,924.4241665198575,347.5759863235184,322.0273487146796,689.6223863438396,0.7599466666666638,36.486666666666665,26.763333333333332,1000.0,42.72739583333333,300
f16_m4,2048,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,395.7231928888506,224.45636460960958,3421.3923420391393,3378.3249430418336,718.803181059609,664.9338530230997,3318.2897563753863,0.7599733333333305,38.0,27.993333333333332,1000.0,44.71010416666667,300
f16_m4,3072,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,419.7465952586332,238.59201382528474,7486.176484010557,7571.123633002353,1393.107724970043,1365.1584153133783,10095.9127977359,0.7599849999999974,38.0,28.0,1000.0,47.5690625,300
f16_m4,4096,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,413.890933704927,255.81030939773657,13224.957430705352,13099.973525281948,2103.571274728206,2059.0519778223015,22985.7134586493,0.7599766666666639,39.0,28.99,1000.0,49.922291666666666,300
f16_m4,5120,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,419.85443538049805,260.6446250361852,20405.3189870119,20357.8419963671,3003.4211365296173,2956.7986715629836,43952.01829899929,0.7599499999999971,39.96666666666667,29.0,1000.0,51.690416666666664,300
