conf,m,cores,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,utilization_vs_user_grid_perc,utilization_vs_full_grid_perc,run,tflops,voltage,current,power,aiclk,temp,iters
f16_m4,8192,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.58%,0.46%,2645677.54983902,0.41558791918648647,0.76,35.0,25.0,1000.0,50.09375,300
f16_m4,8192,2,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.52%,0.92%,1325115.7768567402,0.8297475941189925,0.76,36.5,26.5,1000.0,54.625,300
f16_m4,8192,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.50%,1.84%,662833.1812222799,1.6588059543858003,0.76,37.5,27.5,1000.0,55.625,300
f16_m4,8192,8,"(2, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.16%,3.65%,334234.02229944867,3.289646039656968,0.76,39.5,29.0,1000.0,56.53125,300
f16_m4,8192,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,39.54%,7.19%,169719.67935562134,6.478397979247553,0.7595000000000001,43.0,31.5,1000.0,57.84375,300
f16_m4,8192,32,"(4, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,37.87%,13.77%,88615.27681350708,12.407698393697375,0.76,49.5,37.0,1000.0,58.46875,300
f16_m4,8192,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,35.89%,26.10%,46745.804150899254,23.521076335037197,0.76,57.5,43.5,998.5,59.75,300
f16_m4,8192,72,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,41.09%,33.62%,36995.33700942993,29.720276030888428,0.76,52.0,39.0,990.5,48.5625,300
f16_m4,8192,80,"(8, 10)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,36.96%,33.60%,37017.974853515625,29.702100996256373,0.75,59.0,44.5,971.5,53.6875,300
f16_m4,8192,88,"(8, 11)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,33.57%,33.57%,37049.96506373088,29.676455183822533,0.76,58.0,44.0,987.0,56.375,300
f16_m4,8192,96,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,30.75%,33.54%,37083.06233088175,29.649968440183457,0.76,58.5,44.5,987.0,57.96875,300
