conf,m,k,n,use_trace,grid_size,in0_sharded,out_sharded,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,inference_time_avg,trace_time,transfer_time_in0,transfer_time_in1,TFLOPs (avg),Utilization (vs user grid),Utilization (vs 8x8 full grid)
f16_m2,256,256,256,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,257.33,0.00,8198.98,6401.78,0.13,0.10%,0.07%
f16_m2,512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,244.19,0.00,31430.72,28049.47,1.10,0.84%,0.61%
f16_m2,1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,243.73,0.00,96463.44,94807.15,8.81,6.72%,4.89%
f16_m2,2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,399.80,0.00,397473.81,377968.07,42.97,32.78%,23.84%
f16_m2,3072,3072,3072,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,1990.74,0.00,855528.12,844532.97,29.13,22.22%,16.16%
f16_m2,4096,4096,4096,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,4383.52,0.00,1518186.57,1515043.02,31.35,23.92%,17.40%
f16_m2,8192,8192,8192,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,29435.45,0.00,6102711.92,6249188.66,37.35,28.50%,20.73%
f16_m4,256,256,256,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,243.64,0.00,6968.26,6255.39,0.14,0.21%,0.15%
f16_m4,512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,244.95,0.00,25451.90,24265.53,1.10,1.67%,1.22%
f16_m4,1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,248.80,0.00,95667.84,93970.06,8.63,13.17%,9.58%
f16_m4,2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,674.03,0.00,379216.67,375426.77,25.49,38.89%,28.29%
f16_m4,3072,3072,3072,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2877.01,0.00,851370.10,840410.23,20.15,30.75%,22.37%
f16_m4,4096,4096,4096,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,6364.27,0.00,1512583.73,1506287.10,21.60,32.95%,23.97%
