m,k,n,use_trace,grid_size,in0_sharded,out_sharded,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,inference_time_avg,trace_time,offloading_time_in0,offloading_time_in1,TFLOPs (avg),Utilization (vs user grid),Utilization (vs 8x8 full grid)
512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,245.82,0.00,25618.31,24201.15,1.09,0.83%,0.61%
1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,284.72,0.00,103323.46,103127.72,7.54,5.75%,4.19%
2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,399.62,0.00,383295.54,382098.20,42.99,32.80%,23.85%
512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,247.24,0.00,26681.90,26700.97,1.09,1.66%,1.20%
1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,256.51,0.00,101364.85,100510.60,8.37,12.77%,9.29%
2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,673.96,0.00,391957.52,387939.93,25.49,38.90%,28.29%
512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,248.26,0.00,145332.57,136653.18,1.08,0.82%,0.60%
1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,246.82,0.00,532678.60,539278.98,8.70,6.64%,4.83%
2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,355.05,0.00,2154314.28,2146567.58,48.39,36.92%,26.85%
512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,250.10,0.00,157996.42,141384.36,1.07,0.41%,0.30%
1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,250.62,0.00,555300.24,554876.09,8.57,3.27%,2.38%
2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,250.18,0.00,2143888.24,2158218.86,68.67,26.20%,19.05%
