n_run,conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,second_run,compile_time
1,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0007998943328857422,0.0003046989440917969,0.00036835670471191406,0.0002071857452392578,0.30747222900390625,0.0002837181091308594,0.5839493274688721,0.0003733634948730469,0.583575963973999
1,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0043261051177978516,0.0003077983856201172,0.006676197052001953,0.000377655029296875,0.3087422847747803,0.0002791881561279297,0.6264581680297852,0.0003743171691894531,0.6260838508605957
1,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.009788036346435547,0.00031757354736328125,0.0011379718780517578,0.0009543895721435547,0.2807445526123047,0.0003654956817626953,0.6028974056243896,0.0005047321319580078,0.6023926734924316
1,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004525184631347656,0.0003178119659423828,0.003587961196899414,0.003623485565185547,0.3018467426300049,0.0008153915405273438,0.7052478790283203,0.0012602806091308594,0.7039875984191895
1,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00040602684020996094,0.0003223419189453125,0.008063554763793945,0.007721662521362305,0.30719542503356934,0.0014925003051757812,0.62233567237854,0.0026726722717285156,0.6196630001068115
1,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004570484161376953,0.0003523826599121094,0.01383662223815918,0.013427495956420898,0.3006865978240967,0.002135753631591797,0.6262733936309814,0.004819631576538086,0.6214537620544434
2,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004858970642089844,0.00030493736267089844,0.0002503395080566406,0.00021886825561523438,0.30041074752807617,0.0002598762512207031,0.6156070232391357,0.0005106925964355469,0.6150963306427002
2,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.011074066162109375,0.0003101825714111328,0.00047659873962402344,0.0003650188446044922,0.31078600883483887,0.00029730796813964844,0.6786413192749023,0.00037360191345214844,0.6782677173614502
2,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0005435943603515625,0.0003604888916015625,0.001043081283569336,0.0010423660278320312,0.30370330810546875,0.0004248619079589844,0.696972131729126,0.0005283355712890625,0.6964437961578369
2,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00042557716369628906,0.00031065940856933594,0.003593921661376953,0.0034563541412353516,0.2906758785247803,0.0006921291351318359,0.6343121528625488,0.0012905597686767578,0.6330215930938721
