# Multiple confs but it's the same settings... merged with mean.

conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,second_run,compile_time
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00067505359649653,0.000307075977325394,0.00036279678344721804,0.00021277904510493098,0.3031442284584045,0.000289502143859806,0.5909116435050964,0.000378108024597125,0.5905335354804992
f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.008214960098266557,0.00031586408615107804,0.001194291114807082,0.00037435531616206494,0.2907658529281616,0.000296885967254591,0.5964490985870361,0.00037619352340693697,0.5960729050636292
f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.006178357601165723,0.000308692455291704,0.001640901565551705,0.0009708714485167939,0.28380146265029904,0.000376603603362989,0.5931515717506408,0.0005231785774230481,0.5926283931732178
f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00044724941253657206,0.000313267707824666,0.003625919818878127,0.0034602808952331047,0.28704540014266966,0.0007098340988158671,0.6065791749954224,0.001201982498168889,0.6053771924972534
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.000425815582275342,0.00031738758087153796,0.007647809982299757,0.0075566744804381825,0.28128675937652586,0.0013906502723693378,0.6046212577819824,0.002507727146148634,0.6021135306358337
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0005217194557189439,0.000316474437713576,0.013310384750366161,0.013242559432983353,0.2829108309745788,0.002105545997619577,0.6117020678520203,0.004798047542571975,0.6069040203094482
f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.001054768562316846,0.000324029922485302,0.00057292938232417,0.000227813720703079,0.3247309637069702,0.00031193733215327,0.6385081362724304,0.00038982868194575,0.6381183075904846
f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0077847409248351564,0.00033524513244624204,0.001328799724578805,0.000382792949676469,0.3075265598297119,0.00030725240707393396,0.6377569627761841,0.000378787517547563,0.6373781752586365
f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.004596018791198684,0.000342650413513134,0.002256174087524366,0.001007380485534611,0.302348895072937,0.000385391712188671,0.6415809392929077,0.00054049491882319,0.6410404443740845
f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0008844900131225051,0.000325555801391557,0.003824203014373731,0.003489160537719678,0.3031264734268188,0.000717349052429149,0.6558952713012696,0.001267437934875435,0.6546278333663941
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.000934593677520704,0.000332109928131056,0.008025286197662303,0.007701466083526562,0.29804814338684077,0.001480283737182563,0.6404968619346618,0.0026171207427978034,0.637879741191864
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.000930414199829054,0.00036137104034419,0.013743882179260208,0.013534336090087837,0.29881070375442503,0.00214798450469966,0.6520418500900269,0.004820868968963569,0.6472209811210632
