conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,iters
f16_m2,256,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0010725505055528865,0.00023237605867126306,0.000342613456145623,0.0002725117567232137,0.00030241364939145323,0.0003261894813727194,0.0003240454522029858,100
f16_m2,512,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0006254053689044273,0.0002691740423692175,0.0006465991559234104,0.0005915941334037441,0.0003553421141823663,0.00039126915680323774,0.0003580967397220412,100
f16_m2,1024,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004313848356918354,0.000234397778027227,0.0010012616219489529,0.0009607510113061746,0.0004218559386277587,0.000350298915543991,0.0004971445776195837,100
f16_m2,2048,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0003693455760935535,0.00021589348150707232,0.003495176063624909,0.003474491795939186,0.0007136191761028612,0.0006877163464273578,0.0011743915530471021,100
f16_m2,3072,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0038310743509890445,0.0005180678807105558,0.008124618875428521,0.007795636581503045,0.001736703629013567,0.001599688956423501,0.0025787128083397566,100
f16_m2,4096,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0018594391621631883,0.00041237551747321123,0.013971955917657373,0.013750508623214539,0.0023628404151085124,0.0022160136659713915,0.004792118636603046,100
f16_m4,256,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00025528112025545994,0.00021097558351930033,0.00031983127929245637,0.0004396885062006755,0.0005276134034580588,0.00024940161029022364,0.00033330949918542905,100
f16_m4,512,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0004342342375476848,0.00022420476458492007,0.0007827755266293239,0.00037669206937602053,0.0002995111626391814,0.00025972787714872856,0.00032955261929890225,100
f16_m4,1024,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0005163167622675885,0.0002465905538983873,0.0010352962135539412,0.0009745041737930167,0.0003839426488996215,0.0003541609849128055,0.0005004496671417837,100
f16_m4,2048,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0004064730839902286,0.00022562501596400195,0.003658072551563418,0.003476812168221638,0.0007173906602925869,0.0007084349844857672,0.001177879151201626,100
f16_m4,3072,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0005726618954706406,0.0003129380066314704,0.007809375718285635,0.007620970634359051,0.0015887505182145525,0.001422838340055881,0.0025059320249793144,100
f16_m4,4096,0,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0006154062202691752,0.00040882073593654207,0.013835226079145412,0.013606907535255976,0.002250945320050705,0.0021957833143273387,0.004775388860505893,100
