conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,utilization_vs_user_grid_perc,utilization_vs_full_grid_perc,run,tflops,voltage,current,power,aiclk,temp,iters
f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.12%,0.08%,221.59814834594727,0.15142018221026196,0.76,33.0,24.0,1000.0,39.0625,300
f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.94%,0.68%,217.86371866861978,1.2321255583096975,0.76,33.0,24.0,1000.0,41.5625,300
f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,7.32%,5.32%,223.92670313517254,9.59011863227263,0.76,35.0,26.0,1000.0,44.3125,300
f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,14.43%,10.50%,908.0648422241211,18.91920971405675,0.76,41.0,31.0,1000.0,46.375,300
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,19.73%,14.35%,2241.8173154195147,25.863864150388956,0.76,42.0,33.0,1000.0,48.0625,300
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,22.78%,16.57%,4602.332909901937,29.862888270489858,0.75,57.5,45.0,954.0,50.46875,300
f16_m2,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,25.68%,18.68%,32668.058872222897,33.65708480190405,0.75,56.5,43.0,1000.0,52.34375,300
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.23%,0.17%,220.90991338094076,0.15189192502256868,0.76,43.0,34.0,1000.0,51.75,300
f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1.84%,1.34%,222.20134735107422,1.2080730346602115,0.76,43.0,33.0,1000.0,51.375,300
f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,14.03%,10.20%,233.6287498474121,9.191863798451891,0.76,43.0,33.0,1000.0,51.1875,300
f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,26.47%,19.25%,990.2222951253254,17.349507548530468,0.76,43.0,33.0,1000.0,51.0,300
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,31.53%,22.93%,2805.933952331543,20.664085285336384,0.76,43.0,33.0,1000.0,51.625,300
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,34.15%,24.84%,6140.48957824707,22.38240969561824,0.755,57.5,43.5,982.5,52.53125,300
f16_m4,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,37.61%,27.35%,44605.70812225342,24.649572309501412,0.76,56.0,42.5,1000.0,53.71875,300
