conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,utilization_vs_user_grid_perc,utilization_vs_full_grid_perc,run,tflops,voltage,current,power,aiclk,temp,iters
f16_m2,256,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,0.10%,0.07%,259.9898974100749,0.1290605224828237,0.76,33.0,24.0,1000.0,40.0,300
f16_m2,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,0.81%,0.59%,253.84744008382162,1.057467650299571,0.76,33.0,24.0,1000.0,42.8125,300
f16_m2,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,6.00%,4.36%,273.05444081624347,7.864672120257457,0.76,35.0,25.0,1000.0,44.875,300
f16_m2,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,33.30%,24.22%,393.5742378234863,43.65089869450495,0.76,38.0,28.0,1000.0,46.6875,300
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,23.03%,16.75%,1921.0330645243328,30.182748837983667,0.76,42.0,33.0,1000.0,48.5625,300
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,24.84%,18.06%,4221.470355987549,32.55712864998865,0.76,55.0,41.0,992.0,51.03125,300
f16_m2,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,29.61%,21.54%,28328.593571980797,38.81278556883613,0.7484999999999999,57.5,43.5,985.5,52.78125,300
f16_m4,256,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,0.21%,0.15%,249.5328585306803,0.13446899217032152,0.76,43.0,34.0,1000.0,51.8125,300
f16_m4,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,1.56%,1.14%,262.3605728149414,1.0231547107855399,0.76,43.0,34.0,1000.0,51.625,300
f16_m4,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,12.63%,9.19%,259.44789250691736,8.27712889570974,0.76,43.0,34.0,1000.0,52.0625,300
f16_m4,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,39.84%,28.98%,657.9184532165527,26.112459834509725,0.76,43.0,34.0,1000.0,51.9375,300
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,31.93%,23.22%,2770.5025672912598,20.928354003544374,0.76,43.0,34.0,1000.0,52.25,300
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,34.29%,24.94%,6115.464369455973,22.474001182714186,0.7595000000000001,55.5,42.5,1000.0,53.1875,300
f16_m4,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,38.07%,27.69%,44070.449670155846,24.948954140592317,0.76,57.5,44.0,999.5,54.59375,300
