conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,utilization_vs_user_grid_perc,utilization_vs_full_grid_perc,run,tflops,voltage,current,power,aiclk,temp,iters
f16_m2,256,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,0.11%,0.08%,243.6510721842448,0.13771510094003078,0.76,33.0,24.0,1000.0,43.3125,300
f16_m2,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,0.84%,0.61%,245.13721466064456,1.0950416336075628,0.76,33.0,24.0,1000.0,45.625,300
f16_m2,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,6.68%,4.86%,245.3311284383138,8.7534087568507,0.76,36.0,27.0,1000.0,48.1875,300
f16_m2,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,33.02%,24.01%,396.9836235046387,43.27601484497825,0.76,41.0,30.0,1000.0,49.875,300
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,22.99%,16.72%,1924.287478129069,30.131702853657988,0.76,43.0,33.0,1000.0,51.625,300
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,24.83%,18.06%,4223.37532043457,32.54244367224697,0.758,55.5,43.0,1000.0,53.53125,300
f16_m2,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,29.58%,21.51%,28362.441062927246,38.76646672747712,0.746,58.5,44.5,976.0,54.6875,300
f16_m4,256,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,0.21%,0.15%,248.37891260782877,0.13509372292397412,0.76,44.0,34.0,1000.0,54.125,300
f16_m4,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,1.63%,1.18%,251.96472803751627,1.0653691811975814,0.758,43.0,34.0,1000.0,53.5,300
f16_m4,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,12.61%,9.17%,259.9422136942546,8.261388627419638,0.76,43.0,34.0,1000.0,53.4375,300
f16_m4,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,39.85%,28.98%,657.7833493550618,26.11782314168393,0.753,43.0,34.0,1000.0,53.125,300
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,31.93%,23.22%,2771.1033821105957,20.923816437277154,0.76,43.0,34.0,1000.0,52.375,300
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,34.28%,24.93%,6117.087205251058,22.468038931015897,0.76,56.0,42.5,1000.0,53.5625,300
f16_m4,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,38.07%,27.69%,44072.32205073039,24.9478942024063,0.76,57.5,43.5,1000.0,55.0625,300
