conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,utilization_vs_user_grid_perc,utilization_vs_full_grid_perc,run,tflops,voltage,current,power,aiclk,temp,iters
f16_m2,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,0.83%,0.60%,246.64719899495444,1.088337743521228,0.76,33.0,24.0,1000.0,39.5625,300
f16_m2,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,6.49%,4.72%,252.37321853637695,8.509158223896339,0.76,34.0,25.0,1000.0,41.6875,300
f16_m2,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,33.29%,24.21%,393.7109311421712,43.63574344801784,0.76,41.0,31.0,1000.0,44.1875,300
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,24.85%,18.08%,4218.950271606445,32.57657583616588,0.7605,52.0,39.0,1000.0,46.875,300
f16_m2,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,29.64%,21.56%,28303.28941345215,38.84748559485166,0.76,56.5,44.0,983.5,49.84375,300
f16_m4,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,1.62%,1.18%,252.86674499511716,1.0615688354163908,0.76,42.0,33.0,1000.0,49.875,300
f16_m4,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,13.17%,9.58%,248.80886077880857,8.631057757662079,0.76,42.0,33.0,1000.0,50.0,300
f16_m4,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,39.85%,28.98%,657.8858693440756,26.113753136434816,0.756,43.0,33.0,1000.0,50.5625,300
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,34.27%,24.93%,6118.71321996053,22.46206817205376,0.76,55.5,42.0,1000.0,51.59375,300
f16_m4,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,38.07%,27.69%,44072.21714655559,24.94795358535601,0.7565,55.5,42.0,999.5,53.375,300
