cores,m,inference_avg
1,256,535.2997779846191
1,512,1990.5519485473633
1,1024,15835.824012756346
1,2048,126243.90602111815
1,3072,451808.82692337036
1,4096,998024.6829986572
1,5120,1938647.3774909973
1,6144,0
1,7128,0
2,256,145.00856399536133
2,512,1135.5066299438477
2,1024,8421.754837036133
2,2048,65764.76097106934
2,3072,226655.92432022095
2,4096,526179.792881012
2,5120,1019787.3353958129
2,6144,1775027.5349617004
2,7128,2751580.605506897
4,256,82.33785629272461
4,512,568.2182312011719
4,1024,4657.399654388428
4,2048,37496.2592124939
4,3072,134116.48035049438
4,4096,308649.525642395
4,5120,590434.7014427185
4,6144,1025787.7945899962
4,7128,1558968.6846733093
8,256,66.10393524169922
8,512,381.3505172729492
8,1024,2996.3278770446777
8,2048,24084.763526916504
8,3072,95634.73701477051
8,4096,211081.7837715149
8,5120,398040.0824546814
8,6144,726272.4184989929
8,7128,1033309.6146583558
