"m","k","n","use_trace","grid_size","in0_storage_type","in1_storage_type","out_storage_type","dtype","math_fidelity","inference_time_avg (ns)","TFLOPs (avg)","Utilization (vs user grid)","Utilization (vs 8x8 full grid)"
"512","512","512","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","400640.96","0.67","0.51%","0.51%"
"512","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","296726.23","3.62","2.76%","2.76%"
"512","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","297236.44","7.22","5.51%","5.51%"
"1024","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","299668.31","7.17","5.47%","5.47%"
"1024","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","300722.12","14.28","10.90%","10.90%"
"1024","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","300738.81","28.56","21.79%","21.79%"
"2048","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","305151.94","56.3","42.95%","42.95%"
"2048","2048","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","460939.41","55.91","42.65%","42.65%"
"2048","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","596759.32","64.77","49.42%","49.42%"
"3072","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","902006.63","64.28","49.04%","49.04%"
"3072","3072","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1180622.58","65.48","49.96%","49.96%"
"3072","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1516034.6","67.99","51.87%","51.87%"
"4096","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","2168009.28","63.39","48.37%","48.37%"
"512","512","512","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","393490.79","0.68","0.52%","0.52%"
"512","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","114793.78","9.35","7.14%","7.14%"
"512","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","141630.17","15.16","11.57%","11.57%"
"1024","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","70357.32","30.52","23.29%","23.29%"
"1024","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","115475.65","37.19","28.38%","28.38%"
"1024","2048","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","163207.05","52.63","40.16%","40.16%"
